"";"burchtID";"Jaar";"status";"bewoning";"Gebied"
"228";387;2016;"Hoofdburcht";"Bewoond";"Voeren"
"229";388;2016;"Hoofdburcht";"Bewoond";"Voeren"
"230";389;2016;"Hoofdburcht";"Bewoond";"Voeren"
"231";390;2016;"Hoofdburcht";"Bewoond";"Voeren"
"232";391;2016;"Hoofdburcht";"Bewoond";"Voeren"
"233";392;2016;"Bijburcht";"Ongekend";"Haspengouw"
"234";396;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"235";396;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"236";397;2016;"Bijburcht";"Bewoond";"Haspengouw"
"237";398;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"238";400;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"239";402;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"240";402;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"241";403;2016;"Bijburcht";"Bewoond";"Haspengouw"
"242";405;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"243";406;2016;"Hoofdburcht";"Bewoond";"Voeren"
"244";407;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"245";408;2016;"Hoofdburcht";"Bewoond";"Voeren"
"246";409;2016;"Hoofdburcht";"Bewoond";"Voeren"
"247";410;2016;"Hoofdburcht";"Bewoond";"Voeren"
"248";411;2016;"Hoofdburcht";"Bewoond";"Voeren"
"249";412;2016;"Hoofdburcht";"Bewoond";"Voeren"
"250";413;2016;"Hoofdburcht";"Bewoond";"Voeren"
"251";414;2016;"Hoofdburcht";"Bewoond";"Voeren"
"252";415;2016;"Hoofdburcht";"Bewoond";"Voeren"
"253";416;2016;"Hoofdburcht";"Bewoond";"Voeren"
"254";417;2016;"Hoofdburcht";"Bewoond";"Voeren"
"255";418;2016;"Hoofdburcht";"Bewoond";"Voeren"
"256";419;2016;"Hoofdburcht";"Bewoond";"Voeren"
"257";420;2016;"Hoofdburcht";"Bewoond";"Voeren"
"258";421;2016;"Hoofdburcht";"Bewoond";"Voeren"
"259";422;2016;"Hoofdburcht";"Bewoond";"Voeren"
"260";423;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"261";424;2016;"Hoofdburcht";"Bewoond";"Voeren"
"262";426;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"263";427;2016;"Bijburcht";"Bewoond";"Haspengouw"
"264";428;2016;"Bijburcht";"Ongekend";"Haspengouw"
"265";429;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"266";442;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"267";444;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"268";445;2016;"Bijburcht";"Bewoond";"Haspengouw"
"269";445;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"270";446;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"271";448;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"272";449;2016;"Hoofdburcht";"Niet_bewoond";"Haspengouw"
"273";449;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"274";449;2016;"Bijburcht";"Bewoond";"Haspengouw"
"275";450;2016;"Bijburcht";"Bewoond";"Haspengouw"
"276";451;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"277";451;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"278";452;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"279";452;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"280";453;2016;"Bijburcht";"Bewoond";"Haspengouw"
"281";453;2016;"Bijburcht";"Bewoond";"Haspengouw"
"282";455;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"283";455;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"284";456;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"285";456;2016;"Bijburcht";"Bewoond";"Haspengouw"
"286";457;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"287";458;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"288";462;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"289";465;2016;"Bijburcht";"Bewoond";"Haspengouw"
"290";468;2016;"Bijburcht";"Bewoond";"Haspengouw"
"291";469;2016;"Ongekend";"Ongekend";"Haspengouw"
"292";470;2016;"Bijburcht";"Bewoond";"Haspengouw"
"293";473;2016;"Bijburcht";"Bewoond";"Haspengouw"
"294";474;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"295";475;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"296";476;2016;"Bijburcht";"Bewoond";"Haspengouw"
"297";476;2016;"Bijburcht";"Bewoond";"Haspengouw"
"298";477;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"299";478;2016;"Bijburcht";"Bewoond";"Haspengouw"
"300";479;2016;"Bijburcht";"Bewoond";"Haspengouw"
"301";480;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"302";481;2016;"Bijburcht";"Ongekend";"Haspengouw"
"303";482;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"304";483;2016;"Bijburcht";"Bewoond";"Haspengouw"
"305";483;2016;"Bijburcht";"Ongekend";"Haspengouw"
"306";484;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"307";485;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"308";486;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"309";487;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"310";488;2016;"Bijburcht";"Ongekend";"Haspengouw"
"311";489;2016;"Bijburcht";"Bewoond";"Haspengouw"
"312";490;2016;"Hoofdburcht";"Bewoond";"Voeren"
