Soortnaam;Locatie;Uitgevoerd;Link_waarnemingen;puntlocaties zonder CP telling 2016
Moerassmele;Turnhouts vennengebied (b5-37-24);;http://waarnemingen.be/waarneming/view/121866886;
Moerassmele;Turnhouts vennengebied (b5-37-24);;http://waarnemingen.be/waarneming/view/121866898;
Moerassmele;Kijkverdriet (b6-31-32);;;
Plat fonteinkruid;Moer (d4-14-21);;;
Plat fonteinkruid;Oudbroekpolder (c4-54-23);1;http://waarnemingen.be/waarneming/view/121243190;
Plat fonteinkruid;Zegge (c5-28-33);;;
Plat fonteinkruid;Duivendonken (c5-17-22);;;
Plat fonteinkruid;Grote Nete (c6-44-13);;te nat;
Ronde zegge;Grote Nete (c6-44-13);1;http://waarnemingen.be/user/view/40004?q=&akt=0&g=0&from=2015-11-22&to=2016-11-21&prov=0&z=0&sp=0&gb=0&cdna=0&f=0&m=K&zeker=O&month=0&rows=20&only_hidden=0&zoektext=0&tag=0&plum=0&from=2015-11-22&to=2016-11-21&q=ronde+zegge&zoektext=0&g=0&z=0&month=0&prov=0&m=K&zeker=O&rows=20&only_hidden=0;
Ronde zegge;Buitengoor (c6-24-31);;;
Ronde zegge;Moer1 (b5-27-31);;Niet het volledige hok kunnen onderzoeken, geen planten gevonden. Kijkt nog verder;
Ronde zegge;Moer2 (b5-27-32);1;http://waarnemingen.be/waarneming/view/119648795;
Ronde zegge;Moer2 (b5-27-32);;http://waarnemingen.be/waarneming/view/119648796;
Ronde zegge;Moer2 (b5-27-32);;http://waarnemingen.be/waarneming/view/119648798;
Ronde zegge;Moer2 (b5-27-32);;http://waarnemingen.be/waarneming/view/119648797;
Ronde zegge;Moer2 (b5-27-32);;http://waarnemingen.be/waarneming/view/119648799;
Ronde zegge;Moer2 (b5-27-32);;http://waarnemingen.be/waarneming/view/119143327;
Ronde zegge;Goorke Ð Rode Del (b6-43-31);;;
Slank wollegras;Sluismeer (c6-23-41);;;
Slank wollegras;Meergoor (c6-23-42);1;http://waarnemingen.be/waarneming/view/123162851;
Slank wollegras;Buitengoor2 (c6-24-31);1;http://waarnemingen.be/waarneming/view/123162825;
Slank wollegras;Buitengoor1 (c6-24-13);1;http://waarnemingen.be/waarneming/view/123162804;
Slank wollegras;Goorke Ð Rode Del (b6-43-31);;;
Spits fonteinkruid;Het Moer (d4-14-21);;;
Spits fonteinkruid;Zammelsbroek (c5-58-24);;;
Spits fonteinkruid;De Zegge (c5-37-22);;;http://waarnemingen.be/waarneming/view/121311924
Spits fonteinkruid;De Zegge (c5-37-22);;;http://waarnemingen.be/waarneming/view/121315663
Spits fonteinkruid;De Zegge (c5-37-22);;;http://waarnemingen.be/waarneming/view/121326593
Spits fonteinkruid;De Zegge (c5-37-22);;;http://waarnemingen.be/waarneming/view/121395530
Spits fonteinkruid;De Zegge (c5-37-22);;;http://waarnemingen.be/waarneming/view/121324411
Spits fonteinkruid;De Zegge (c5-37-22);;;http://waarnemingen.be/waarneming/view/121558570
Spits fonteinkruid;Visvijvers (c5-24-13);;;
Spits fonteinkruid;Rielens Gebroekt (c5-17-41);;;
Spits fonteinkruid;Verbrande Hoeven (c5-17-23);;;http://waarnemingen.be/waarneming/view/124228398
Spits fonteinkruid;Winkelsbroek (c5-17-22);;;
Stekende bies;Scheldeschorren (c4-52-43);;;
Stekende bies;Scheldeschorren, Schor van Weert (c4-52-42);1;http://waarnemingen.be/waarneming/view/120670466;
Stekende bies;Noordelijk Eiland (c4-54-24);;;
Veenmosorchis;Meergoor (c6-23-42);;;
Veenmosorchis;Buitengoor2 (c6-24-31);1;http://waarnemingen.be/waarneming/view/121301699;
Veenmosorchis;Buitengoor2 (c6-24-31);;http://waarnemingen.be/waarneming/view/121301688;
Veenmosorchis;Buitengoor1 (c6-24-13);1;http://waarnemingen.be/waarneming/view/121301657;
Weegbreefonteinkruid;Kindernouw2 (c5-25-12);;;
Weegbreefonteinkruid;Kindernouw1 (c5-15-41);;;
Weegbreefonteinkruid;Visbeekvallei (c5-15-23);;;
Welriekende nachtorchis;Buitengoor2 (c6-24-31);1;http://waarnemingen.be/waarneming/view/121301749;
Welriekende nachtorchis;Buitengoor1 (c6-24-13);;;
Welriekende nachtorchis;Turnhouts Vennengebied2 (b5-38-31);;;
Welriekende nachtorchis;Turnhouts Vennengebied1 (b5-38-11);1;http://waarnemingen.be/waarneming/view/121148177;
Welriekende nachtorchis;Turnhouts Vennengebied (Zandvenheide) (b5-37-41);1;http://waarnemingen.be/waarneming/view/121148865;
Welriekende nachtorchis;Turnhouts Vennengebied (Zwartwater) (b5-37-24);1;http://waarnemingen.be/waarneming/view/121147571;
Welriekende nachtorchis;Turnhouts Vennengebied (Zwartwater) (b5-37-24);;http://waarnemingen.be/waarneming/view/121147560;
Welriekende nachtorchis;Turnhouts Vennengebied (Kasteeltjes) (b5-37-21);1;http://waarnemingen.be/waarneming/view/121147163;
Welriekende nachtorchis;Kijkverdriet (b6-31-32);;;
Witte waterranonkel;Langdonken2 (d5-26-43);;;
Witte waterranonkel;Langdonken3 (d5-26-44);;;
Witte waterranonkel;Langdonken1 (d5-26-41);;;
Witte waterranonkel;Blommerschot (c5-14-24);1;http://waarnemingen.be/waarneming/view/124319811;
Witte waterranonkel;Blommerschot (c5-14-24);;http://waarnemingen.be/waarneming/view/124319809;
Witte waterranonkel;Tielenkamp1 (c5-17-14);1;http://waarnemingen.be/waarneming/view/123375478;
Witte waterranonkel;Tielenkamp1 (c5-17-14);;http://waarnemingen.be/waarneming/view/123375497;
Witte waterranonkel;Tielenkamp2 (c5-17-21);1;http://waarnemingen.be/waarneming/view/116377864;
Witte waterranonkel;Tielenkamp2 (c5-17-21);;http://waarnemingen.be/waarneming/view/116377872;
Witte waterranonkel;Tielenkamp2 (c5-17-21);;http://waarnemingen.be/waarneming/view/123375736;
Witte waterranonkel;Tielenkamp2 (c5-17-21);;http://waarnemingen.be/waarneming/view/123375821;
Witte waterranonkel;Tielenkamp2 (c5-17-21);;http://waarnemingen.be/waarneming/view/123376064;
Witte waterranonkel;Tielenkamp2 (c5-17-21);;http://waarnemingen.be/waarneming/view/123375211;
Witte waterranonkel;Tielenkamp3 (c5-17-22);1;http://waarnemingen.be/waarneming/view/116377852;
Witte waterranonkel;Tielenkamp3 (c5-17-22);;http://waarnemingen.be/waarneming/view/116377856;
Witte waterranonkel;Tielenkamp3 (c5-17-22);;http://waarnemingen.be/waarneming/view/123375522;
Witte waterranonkel;Tielenkamp3 (c5-17-22);;http://waarnemingen.be/waarneming/view/123375577;
Witte waterranonkel;Buitengoor - Meergoor - Sluismeer1 (c6-23-41);;;
Witte waterranonkel;Buitengoor - Meergoor - Sluismeer2 (c6-23-42);1;http://waarnemingen.be/waarneming/view/121062639;
Witte waterranonkel;Groesgoor en Koemoek1 (c6-13-22);1;http://waarnemingen.be/waarneming/view/120178718;
Witte waterranonkel;Groesgoor en Koemoek1 (c6-13-22);;http://waarnemingen.be/waarneming/view/120178727;
Witte waterranonkel;Groesgoor en Koemoek1 (c6-13-22);;http://waarnemingen.be/waarneming/view/120178731;
Witte waterranonkel;Groesgoor en Koemoek1 (c6-13-22);;http://waarnemingen.be/waarneming/view/120178738;
Witte waterranonkel;Groesgoor en Koemoek1 (c6-13-22);;http://waarnemingen.be/waarneming/view/120178740;
Witte waterranonkel;Groesgoor en Koemoek1 (c6-13-22);;http://waarnemingen.be/waarneming/view/120178741;
Witte waterranonkel;Groesgoor en Koemoek1 (c6-13-22);;http://waarnemingen.be/waarneming/view/120178743;
Witte waterranonkel;Groesgoor en Koemoek1 (c6-13-22);;http://waarnemingen.be/waarneming/view/120178745;
Witte waterranonkel;Groesgoor en Koemoek3 (c6-14-13);;;
Witte waterranonkel;Groesgoor en Koemoek2 (c6-14-11);1;http://waarnemingen.be/waarneming/view/120189827;
Witte waterranonkel;Den Uitlegger (b4-48-11);1;http://waarnemingen.be/waarneming/view/120095835;
Witte waterranonkel;Den Uitlegger (b4-48-11);;http://waarnemingen.be/waarneming/view/120095830;
Witte waterranonkel;Den Uitlegger (b4-48-11);;http://waarnemingen.be/waarneming/view/120095828;
Witte waterranonkel;Den Uitlegger (b4-48-11);;http://waarnemingen.be/waarneming/view/120095825;
Witte waterranonkel;Klein Schietveld (b4-38-33);1;http://waarnemingen.be/waarneming/view/124274828;http://waarnemingen.be/waarneming/view/56160414
Witte waterranonkel;Klein Schietveld (b4-38-33);;http://waarnemingen.be/waarneming/view/124274795;
Witte waterranonkel;Klein Schietveld (b4-38-33);;http://waarnemingen.be/waarneming/view/124274839;
Witte waterranonkel;Witte Kei (b5-26-12);1;http://waarnemingen.be/waarneming/view/120435868;
Witte waterranonkel;Wortel-Kolonie (b5-25-22);1;http://waarnemingen.be/waarneming/view/120435864;
Witte waterranonkel;Turnhouts Vennengebied4 (b5-38-13);;Bezoek niet mogelijk door wateroverlast;
Witte waterranonkel;Turnhouts Vennengebied2 (b5-37-41);;Bezoek niet mogelijk door wateroverlast;
Witte waterranonkel;Turnhouts Vennengebied3 (b5-37-42);;Bezoek niet mogelijk door wateroverlast;
Witte waterranonkel;Turnhouts Vennengebied (Zwart Water) (b5-37-24);;Bezoek niet mogelijk door wateroverlast;
Witte waterranonkel;Turnhouts Vennengebied1 (b5-37-22);;Bezoek niet mogelijk door wateroverlast;
Witte waterranonkel;Bonte Klepper (b5-44-13);1;http://waarnemingen.be/waarneming/view/124319815;
Witte waterranonkel;Bonte Klepper (b5-44-13);;http://waarnemingen.be/waarneming/view/124319816;
Witte waterranonkel;Goorbossen1 (b6-52-24);1;http://waarnemingen.be/waarneming/view/125872805;
Witte waterranonkel;Goorbossen2 (b6-53-13);;Goed gezocht, niets gevonden;
Witte waterranonkel;Hoge Mierdse Heide1 (b6-41-13);1;http://waarnemingen.be/waarneming/view/119528498;
Witte waterranonkel;Hoge Mierdse Heide1 (b6-41-13);;http://waarnemingen.be/waarneming/view/119528442;
Witte waterranonkel;Hoge Mierdse Heide2 (b6-41-14);1;http://waarnemingen.be/waarneming/view/119081668;
Witte waterranonkel;Liereman (b6-41-12);1;http://waarnemingen.be/waarneming/view/119528511;
Witte waterranonkel;Kijkverdriet (b6-31-32);1;http://waarnemingen.be/waarneming/view/118622858;
Witte waterranonkel;Overheide (b6-21-22);;;inbo personeel ingevoerd maar geen Floron schaal
Witte waterranonkel;Melle (b5-58-23);;;ingevoerd maar geen Floron schaal
Witte waterranonkel;Bleuken (b5-57-41);;;ingevoerd maar geen Floron schaal
Driekantige bies;Scheldeoever7 (d3-36-14);1;http://waarnemingen.be/waarneming/view/122986026;
Driekantige bies;Scheldeoever6 (d3-36-11);;;
Driekantige bies;Scheldeoever8 (d3-36-22);;;http://waarnemingen.be/waarneming/view/95174077
Driekantige bies;Scheldeoever9 (d3-37-13);1;http://waarnemingen.be/waarneming/view/123271820;
Driekantige bies;Scheldeoever10 (d3-37-23);1;http://waarnemingen.be/waarneming/view/122983150;
Driekantige bies;Scheldeoever10 (d3-37-23);;http://waarnemingen.be/waarneming/view/122983147;
Driekantige bies;Scheldeoever11 (d3-38-11);;;
Driekantige bies;Scheldeoever1 (d3-26-44);;;
Driekantige bies;Scheldeoever2 (d3-28-14);;;
Driekantige bies;Scheldeoever5 (d3-28-24);;;
Driekantige bies;Scheldeoever3 (d3-28-21);;;
Driekantige bies;Scheldeoever4 (d3-28-22);1;http://waarnemingen.be/waarneming/view/122986039;skiclub
Driekantige bies;Scheldeoever12 (d4-12-44);1;http://waarnemingen.be/waarneming/view/122849597;http://waarnemingen.be/waarneming/view/55765604
Driekantige bies;Kallemansputte (c3-33-23);;;
Krabbenscheer;Damvallei2 (d3-23-22);;;
Krabbenscheer;Damvallei3 (d3-24-12);;;
Krabbenscheer;Damvallei4 (d3-24-21);;;
Krabbenscheer;Damvallei1 (d3-14-43);;;
Weegbreefonteinkruid;Oversprong (d3-27-33);;;
Stekende bies;Hazop, zuidelijke Bufferzone (c4-13-32);;;
Grote bremraap;Stuivenberg (c3-32-41);;;
Grote bremraap;Broekhuize (c2-26-34);1;http://waarnemingen.be/waarneming/view/120441716;
Grote bremraap;Broekhuize (c2-26-34);;http://waarnemingen.be/waarneming/view/120441718;
Grote bremraap;Broekhuize (c2-26-34);;http://waarnemingen.be/waarneming/view/120441719;
Grote bremraap;Broekhuize (c2-26-34);;http://waarnemingen.be/waarneming/view/120441720;
Grote bremraap;Broekhuize (c2-26-34);;http://waarnemingen.be/waarneming/view/115508848;
Grote bremraap;Oostveldakker1 (c2-38-14);;;
Grote bremraap;Oostveldakker2 (c2-38-23);1;http://waarnemingen.be/waarneming/view/124630181;
Grote bremraap;Bellembrug (c2-56-43);;;
Grote bremraap;Aalterbrug (c2-56-32);1;http://waarnemingen.be/waarneming/view/120485048;
Grote bremraap;Aalterbrug (c2-56-32);;http://waarnemingen.be/waarneming/view/120485028;
Grote bremraap;Aalterbrug (c2-56-32);;http://waarnemingen.be/waarneming/view/120485029;
Grote bremraap;Aalterbrug (c2-56-32);;http://waarnemingen.be/waarneming/view/120485030;
Grote bremraap;Aalterbrug (c2-56-32);;http://waarnemingen.be/waarneming/view/120485044;
Grote bremraap;Aalterbrug (c2-56-32);;http://waarnemingen.be/waarneming/view/120485046;
Grote bremraap;Karmenhoek (d2-16-24);;;
Grote bremraap;Kallemansputte (c3-33-23);;;
Spits fonteinkruid;Langerbrugge-eiland (c3-52-42);;;al veel gaan kijken, maar stuk privaat, wil volgend jaar verder zoeken met vergunning
Grote bremraap;Industriezone Genk-Zuid (d7-51-21);;;
Grote bremraap;Stiemerbeekvallei (d7-41-23);;;
Grote bremraap;Domein Donderslag (d7-12-32);;;
Kleine schorseneer;Pomperik1 (d6-58-43);;;
Kleine schorseneer;Pomperik2 (d6-58-44);1;http://waarnemingen.be/waarneming/view/118956300;
Kleine schorseneer;Pomperik2 (d6-58-44);;http://waarnemingen.be/waarneming/view/118956308;
Kleine schorseneer;Pomperik2 (d6-58-44);;http://waarnemingen.be/waarneming/view/118956328;
Kleine schorseneer;Pomperik2 (d6-58-44);;http://waarnemingen.be/waarneming/view/118956329;
Kleine schorseneer;Pomperik2 (d6-58-44);;http://waarnemingen.be/waarneming/view/118956334;
Kleine schorseneer;Pomperik2 (d6-58-44);;http://waarnemingen.be/waarneming/view/118956337;
Kleine schorseneer;Pomperik2 (d6-58-44);;http://waarnemingen.be/waarneming/view/118956340;
Kleine schorseneer;Pomperik2 (d6-58-44);;http://waarnemingen.be/waarneming/view/118956342;
Kleine wolfsklauw;Mechelse Heide2 (d7-44-11);1;http://waarnemingen.be/waarneming/view/125914591;
Kleine wolfsklauw;Mechelse Heide1 (d7-34-33);1;http://waarnemingen.be/waarneming/view/125914602;
Polei;Grensmaas2 (d7-55-41);1;http://waarnemingen.be/waarneming/view/125894811;
Polei;Grensmaas3 (d7-56-11);;;
Polei;Grensmaas1 (d7-17-13);1;http://waarnemingen.be/waarneming/view/125881598;
Purperorchis;Stroevenbos1 (f7-17-22);1;http://waarnemingen.be/waarneming/view/119338617;
Purperorchis;Stroevenbos1 (f7-17-22);;http://waarnemingen.be/waarneming/view/119338620;
Purperorchis;Stroevenbos1 (f7-17-22);;http://waarnemingen.be/waarneming/view/119338623;
Purperorchis;Stroevenbos1 (f7-17-22);;http://waarnemingen.be/waarneming/view/119338628;
Purperorchis;Stroevenbos1 (f7-17-22);;http://waarnemingen.be/waarneming/view/119338637;
Purperorchis;Stroevenbos2 (f7-18-11);1;http://waarnemingen.be/waarneming/view/119478765;
Purperorchis;Overbroek (e6-55-22);1;http://waarnemingen.be/waarneming/view/119947715;
Purperorchis;Overbroek (e6-55-22);;http://waarnemingen.be/waarneming/view/119947716;
Purperorchis;Overbroek (e6-55-22);;http://waarnemingen.be/waarneming/view/119947718;
Purperorchis;Overbroek (e6-55-22);;http://waarnemingen.be/obs/edit/117852393;
