SOORTSCODE;ABUNDANTIE;WAARNEMER1;WAARNEMER2;WAARNEMER3;Datum;MAAND;JAAR;SCHAAL;OPMERKING;X_PROJ;Y_PROJ;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;17/08/2016;8;2016;Foretrex201;;23083,68;199165,17;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;17/08/2016;8;2016;Foretrex201;;23021,78;199157,76;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;17/08/2016;8;2016;Foretrex201;;23014,53;199147,74;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;17/08/2016;8;2016;Foretrex201;;23052,66;199146,52;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;17/08/2016;8;2016;Foretrex201;;23032,39;199151,89;;;;;;;;;;;;;
gentnuli;a;gompw;eenad;;17/08/2016;8;2016;Foretrex201;;23015,74;199151,80;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22735,86;198954,73;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22731,72;198921,54;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22739,02;198897,03;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22743,58;198871,03;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22676,67;198889,28;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22662,15;198906,08;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22657,34;198934,25;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22660,78;198948,82;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22676,27;198944,85;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22734,57;198947,33;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22743,59;198876,50;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22735,39;198874,13;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22725,41;198869,85;;;;;;;;;;;;;
