groep;meetnet;task_id;taak;visit_id;start_date;start_time;end_date;end_time;notes;locatie;protocol;bezoek_status;uitgevoerd_door
amfibieën;Boomkikker;1096;Veldbezoek 1;380;7/05/2016;21:30:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Jos Gorissen, Ann Thijs, Marleen Lambrichts, totaal 7 poelen maaswinkel: 163-183 mannetjes;Maaswinkel 5;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;;;396;9/05/2016;22:00:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Bart Hoelbeek, totaal 7 poelen maaswinkel: 140-155 mannetjes;Maaswinkel 5;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;1156;Veldbezoek 2;389;13/05/2016;21:00:00;;22:30:00;Hoofdteller: Bertie Vanderlee, Medetellers: Freddy Janssens, Philippe Plessers, totaal 7 poelen maaswinkel: ongeveer 122 mannetjes;Maaswinkel 5;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;1559;Schepbezoek 1 (larven);232;7/07/2016;18:30:00;7/07/2016;19:00:00;Poel zeer moeilijk bereikbaar wegens ligging in een kom met overal bramen eromheen. Ook met lieslaarzen aan heel tricky om niet onder te lopen door grind ondergrond. Extreem veel heel kleine visjes in de vijver. Maar één zijde van de poel kunnen bemonsteren wegens overkant onbereikbaar., Medetellers: Bertie Vanderlee, Bart Hoelbeek, derde, Permanentie waterkolom: Soms wel, soms niet. Om de paar jaar staat het wel eens droog., Lokale naam: Poel 5;Maaswinkel 5;Padden en kikkers - Larven;Conform protocol;Hannes Ledegen
amfibieën;Boomkikker;1093;Veldbezoek 1;381;7/05/2016;21:30:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Jos Gorissen, Ann Thijs, Marleen Lambrichts, totaal 7 poelen maaswinkel: 163-183 mannetjes, Aantal: 10-15 geschat;Maaswinkel 6;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;;;397;9/05/2016;22:00:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Bart Hoelbeek, totaal 7 poelen maaswinkel: 140-155 mannetjes;Maaswinkel 6;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;1153;Veldbezoek 2;390;13/05/2016;21:00:00;;22:30:00;Hoofdteller: Bertie Vanderlee, Medetellers: Freddy Janssens, Philippe Plessers, totaal 7 poelen maaswinkel: ongeveer 122 mannetjes;Maaswinkel 6;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;1556;Schepbezoek 1 (larven);259;14/07/2016;20:30:00;14/07/2016;21:11:00;Veel groenalgen, watercrassula, sterrenkroos en stinkende modder., Tellers: Bertie Vanderlee, Bart Hoelbeek, Iwan Dewyspelaere, Ook nog 21 groene kikker larven: 0,0,5,1,8,0,3,2,0,2 (respectievelijk per schep), maximale diepte: 1.20m;Maaswinkel 6;Padden en kikkers - Larven;Conform protocol;Hannes Ledegen
amfibieën;Boomkikker;1092;Veldbezoek 1;382;7/05/2016;21:30:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Jos Gorissen, Ann Thijs, Marleen Lambrichts, totaal 7 poelen maaswinkel: 163-183 mannetjes, Aantal: 25-30 geschat;Maaswinkel 8;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;;;398;9/05/2016;22:00:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Bart Hoelbeek, totaal 7 poelen maaswinkel: 140-155 mannetjes;Maaswinkel 8;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
