Soortnaam;Naam locatie;Provincie;Pink;Uitgevoerd;link waarnemingen Conform-Protocol tellingen 2016;puntlocaties zonder CP  telling 2016
Driekantige bies;Scheldeoever7 (d3-36-14);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122986026;
Driekantige bies;Scheldeoever9 (d3-37-13);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/123271820;
Driekantige bies;Scheldeoever10 (d3-37-23);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122983150;
Driekantige bies;Scheldeoever4 (d3-28-22);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122986039;skiclub
Driekantige bies;Scheldeoever12 (d4-12-44);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122849597;http://waarnemingen.be/waarneming/view/55765604
Grote bremraap;Broekhuize (c2-26-34);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/120441716;
Grote bremraap;Oostveldakker2 (c2-38-23);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/124630181;
Grote bremraap;Aalterbrug (c2-56-32);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/120485048;
Kleine schorseneer;Pomperik2 (d6-58-44);Limburg;;1;http://waarnemingen.be/waarneming/view/118956300;
Kleine wolfsklauw;Mechelse Heide2 (d7-44-11);Limburg;;1;http://waarnemingen.be/waarneming/view/125914591;
Kleine wolfsklauw;Mechelse Heide1 (d7-34-33);Limburg;;1;http://waarnemingen.be/waarneming/view/125914602;
Polei;Grensmaas2 (d7-55-41);Limburg;;1;http://waarnemingen.be/waarneming/view/125894811;
Polei;Grensmaas1 (d7-17-13);Limburg;;1;http://waarnemingen.be/waarneming/view/125881598;
Purperorchis;Stroevenbos1 (f7-17-22);Limburg;;1;http://waarnemingen.be/waarneming/view/119338617;
Purperorchis;Stroevenbos2 (f7-18-11);Limburg;;1;http://waarnemingen.be/waarneming/view/119478765;
Purperorchis;Overbroek (e6-55-22);Limburg;;1;http://waarnemingen.be/waarneming/view/119947715;
Purperorchis;Broekbos (e7-57-24);Limburg;;1;http://waarnemingen.be/waarneming/view/119338677;
Purperorchis;Roodbos (e7-58-34);Limburg;;1;http://waarnemingen.be/waarneming/view/119338641;
Purperorchis;Veursbos2 (e7-58-31);Limburg;;1;http://waarnemingen.be/waarneming/view/119338647;
Purperorchis;Weerhakenmonument (e7-58-24);Limburg;;1;http://waarnemingen.be/waarneming/view/120045808;
Purperorchis;Grootbos (e7-32-44);Limburg;;1;http://waarnemingen.be/waarneming/view/125880290;
Spits fonteinkruid;Spitsbos (e6-18-42);Limburg;;1;http://waarnemingen.be/waarneming/view/125895018;
Welriekende nachtorchis;Mabroek (f7-18-22);Limburg;;1;http://waarnemingen.be/waarneming/view/133581281;
Welriekende nachtorchis;Alsbos (e7-57-34);Limburg;;1;http://waarnemingen.be/waarneming/view/119175678;
Welriekende nachtorchis;Veursbos-Zuid (e7-58-31);Limburg;;1;http://waarnemingen.be/waarneming/view/133581262;
Welriekende nachtorchis;Teuvenerberg (e7-58-21);Limburg;;1;http://waarnemingen.be/waarneming/view/133581564;
Welriekende nachtorchis;Hasselbos (e7-31-31);Limburg;;1;http://waarnemingen.be/waarneming/view/119919601;
Welriekende nachtorchis;Boenderberg (e8-51-31);Limburg;;1;http://waarnemingen.be/waarneming/view/119478772;
Witte waterranonkel;Beverbeekse Heide (b7-51-23);Limburg;;1;http://waarnemingen.be/waarneming/view/122323474;
Bleekgeel blaasjeskruid;Demerbroeken (d5-38-22);Vlaams-Brabant;;1;naar gezocht, niet gevonden, moeilijk toegankelijk, privaat, we zoeken volgend jaar opnieuw;
Grote bremraap;Averbode Bos en Heide (d5-28-24);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/118353288;
Grote bremraap;Ossenberg (d5-48-33);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/122074436;
Grote bremraap;Negenbunders (d5-48-34);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/119547457;
Grote bremraap;Luienberg (d6-41-32);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/119210077;
Grote bremraap;Kloosterberg (d6-42-13);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/119306728;
Kleine schorseneer;Vorsdonkbos-Turfputten (d5-45-14);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/120299446;
Koprus;Dassenaarde1 (d6-31-21);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/122502339;
Koprus;Dassenaarde2 (d6-31-22);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/120349935;
Ronde zegge;Demerbroeken (d5-38-22);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/118987954;
Witte waterranonkel;Averbodes Bos (d5-28-32);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/117957640;
Harlekijn;Achter Schoonhoven (d5-37-33);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/118037819;
Duingentiaan;Westhoek3 (c0-56-33);West-Vlaanderen;1;1;INBO databank;
Duingentiaan;Westhoek4 (c0-56-34);West-Vlaanderen;1;1;INBO databank;
Duingentiaan;Westhoek1 (c0-56-31);West-Vlaanderen;1;1;INBO databank;
Duingentiaan;Westhoek2 (c0-56-32);West-Vlaanderen;1;1;INBO databank;
Duingentiaan;Westhoek5 (c0-56-41);West-Vlaanderen;1;1;INBO databank;
